"UBIPROV_INEI","PROVINCIA.x","AGUA_2017","DESAGUE_2017","LUZ_2017","PROMEDIO_SSBB_2017","AGUA_2007","DESAGUE_2007","LUZ_2007","PROMEDIO_SSBB_2007","AGUA_1993","DESAGUE_1993","LUZ_1993","PROMEDIO_SSBB_1993"
"0406","Condesuyos",75.916014820914,28.7361053931659,68.4643886372993,57.7055029504597,48.0968218773097,27.8824833702882,42.6829268292683,39.5540773589554,40.6026962727994,16.9310071371927,46.1141950832672,34.5492994977531
"0407","Islay",91.1686457725002,79.1447667250665,89.1116734799818,86.4750286591828,85.6753265394,61.7697717812545,85.5389694273001,77.6613559159849,77.9416930101862,50.8166491043203,72.0231822971549,66.9271748038871
"0408","La Unión",87.6001885902876,40.5940594059406,78.4771334276285,68.8904604746189,48.6191393705845,17.3624491543567,40.8906015842432,35.6240633697281,21.6856695729935,4.24770847306059,6.32684998882182,10.7534093449586
"0501","Huamanga",94.8416964068166,65.1803758008342,86.7566754095541,82.2595825390683,74.6942597263625,52.5605747917144,70.7693189635405,66.0080511605391,62.8502922223887,33.0226285029222,52.2403716469354,49.3710974574155
"0502","Cangallo",93.1984042035614,29.2984333949596,69.7090590639292,64.0686322208167,45.856806309536,12.8034415650927,33.9342415241217,30.8648297995835,28.7536800785083,3.81501472031403,8.81992149165849,13.7962054301603
"0503","Huanca Sancos",94.4214876033058,59.228650137741,72.8994490358127,75.5165289256198,22.5588235294118,13.0882352941176,41.6764705882353,25.7745098039216,49.512012012012,1.53903903903904,15.0900900900901,22.047047047047
"0504","Huanta",94.6583850931677,50.7192947305149,82.4804648367061,75.9527148867962,46.7881829789108,27.9707656408224,43.4993175714349,39.4194220637227,41.78968086602,14.1009419372979,22.4377899620413,26.1094709217864
"0505","La Mar",92.7660403076624,53.2324019082855,70.3047415052089,72.1010612403856,23.565496413741,13.7882219705549,25.3491883729709,20.900968919089,32.1245787042816,7.34614904506304,11.9897640743977,17.1534972745808
"0506","Lucanas",84.1789321789322,47.0937950937951,75.8730158730159,69.048581048581,54.2310756972112,19.7397078353254,49.1792828685259,41.0500221336875,42.205719044975,6.80177679067185,20.8703498056635,23.2926152137701
"0507","Parinacochas",90.9289758106022,41.6752444673186,85.1260936695831,72.5767713158346,58.6442786069652,26.0696517412935,56.9776119402985,47.2305140961857,41.1469161469161,10.7761607761608,23.7699237699238,25.2310002310002
"0508","Páucar del Sara Sara",95.2380952380952,57.0785070785071,86.7117117117117,79.6761046761047,71.2503897723729,16.3392578734019,73.495478640474,53.6950420954163,52.8315160042209,2.77875483644038,17.9036229335209,24.5046312580607
"0509","Sucre",93.1621379516274,55.6584054941774,80.2030456852792,76.341196377028,60.952380952381,15.1058201058201,54.8412698412698,43.6331569664903,36.7401668653159,1.13230035756853,0.685339690107271,12.8526023043306
"0510","Víctor Fajardo",94.3011647254576,54.9639489739323,78.369384359401,75.878166019597,55.3805443548387,22.3286290322581,55.4183467741936,44.3758400537634,41.8501048218029,3.708071278826,8.42505241090147,17.9944095038435
"0511","Vilcas Huamán",93.1310164790341,25.7790830478055,76.3419807472671,65.0840267580356,52.7216174183515,8.56779301569348,18.7473490739432,26.678919835996,21.0139002452984,0.850367947669665,4.30089942763696,8.72172254020169
"0601","Cajamarca",95.824002559298,55.7230016909648,86.4162972441844,79.3211004981491,78.4419311755847,45.4917450484499,62.7646273194851,62.2327678478399,42.1073230126979,28.1527222125587,34.3037919638198,34.8546123963588
"0602","Cajabamba",92.2068897051524,29.3755584235084,75.205996227539,65.5961481187332,71.9017404971186,17.6261714884452,35.8286279760172,41.785513320527,22.7332366549271,10.3584006629376,15.5790345970582,16.2235573049743
"0603","Celendín",93.8338034280755,28.0147537426774,73.9205901497071,65.2563824401533,59.6256684491979,19.1153016230416,35.7585139318885,38.1664946680427,25.0396475770925,10.5961820851689,13.28046989721,16.3054331864905
"0604","Chota",91.5514053687191,25.7576821362541,87.7694305974865,68.3595060341532,47.2668397111357,18.4292359487035,40.6517437228547,35.4492731275646,18.9409556629027,9.4766314882619,10.7658225900742,13.0611365804129
"0605","Contumazá",89.6555669985124,40.2563222336652,70.8433459205859,66.9184117175878,57.2095881991395,27.240319606638,41.3153042409342,41.9217373489039,35.1974556056189,16.3132785581765,17.6782401272197,23.0629914303384
"0606","Cutervo",90.238101899779,30.4804006603061,73.8955261464425,64.8713429021758,42.8993892639023,17.0266795242687,21.2504018000643,27.0588235294118,16.6356300434513,7.55741775294848,11.5611421477343,11.9180633147114
"0607","Hualgayoc",94.3519738155111,22.588113200016,88.5682353410769,68.502774118868,52.8619377936899,16.4600581785634,23.1640187961513,30.8286715894682,19.6270603958506,10.3735760198562,13.886590721059,14.6290757122552
"0608","Jaén",90.0082195625589,53.4592329744793,80.1347206351116,74.5340577240499,49.9976491607504,44.7975927406084,52.5365555503315,49.1105991505634,39.0486130878958,25.1510263465857,22.7946990543062,28.9981128295959
"0609","San Ignacio",90.0233307410288,36.9236751472059,74.4556160426619,67.1342073102988,59.9017890869132,18.9004498471893,29.1919920332406,35.9980769891144,18.1496533588334,5.37891465455415,7.82213722208941,10.4502350784923
