UBIGEO,PROVINCIA,IDH_2017,ING_2017,PEA_ASALARIADA
1311,Gran Chimú,0.386052244987686,669.684186583271,44.4127243066884
1312,Virú,0.496514292006731,969.702352072034,69.7462403573933
1401,Chiclayo,0.574693768456612,859.664464397642,51.1059391481431
1402,Ferreñafe,0.433391305539905,652.167869561623,50.4422964264792
1403,Lambayeque,0.489487520268696,799.249782927909,59.6236212712732
1501,Lima,0.723833895696672,1483.89194393041,55.5819434934158
1502,Barranca,0.650273854642255,1246.9500008501,54.837059885886
1503,Cajatambo,0.425705957069825,693.747266683126,34.7222222222222
1504,Canta,0.572661843018658,1137.50747011935,44.2097852868708
1505,Cañete,0.686569929166116,1396.40574568103,56.8770983053262
1506,Huaral,0.647572567276042,1294.10594238742,55.2850938214549
1507,Huarochirí,0.567923619343973,1071.65925301163,44.2555258683507
1508,Huaura,0.654510204057919,1306.11078426196,54.0927440519932
1509,Oyón,0.600776913160037,1081.91714981258,56.286887349243
1510,Yauyos,0.497855864013159,734.259229759161,38.1385000463521
1601,Maynas,0.519674377452691,884.006689750281,41.6962285533563
1602,Alto Amazonas,0.418550282765882,716.09690157446,37.4633596392334
1603,Loreto,0.344693830061277,473.669532396633,32.0077928031171
1604,Mariscal Ramón Castilla,0.33074358893115,501.662510377788,28.3353584447145
1605,Requena,0.367735899030426,468.710313010592,29.7501719000688
1606,Ucayali,0.388049132554336,567.522037704103,32.3850113466541
1607,Datem del Marañón,0.323461160025014,427.418189486518,26.6772993088783
1608,Putumayo,0.407100381911616,703.620296628698,36.4280652019844
1701,Tambopata,0.555044550160292,982.797399490697,46.681171108652
1702,Manu,0.550803760456368,1019.6186057192,47.3655202821869
1703,Tahuamanu,0.601311238775703,1149.47832684789,55.5962242342516
1801,Mariscal Nieto,0.654127317570813,1203.22162337619,54.1270920616815
1802,General Sánchez Cerro,0.535832852796309,767.144623632019,36.605814739689
1803,Ilo,0.637822597167692,1077.40694396811,52.8696752193163
1901,Pasco,0.523204073390614,695.242862283509,56.6855827291637
1902,Daniel Alcides Carrión,0.373173388565354,321.760607285373,27.7325694941736
1903,Oxapampa,0.397843291256807,580.694860868842,39.5879548178179
2001,Piura,0.54082349119218,813.278275526215,53.2272065072235
2002,Ayabaca,0.252419595169238,292.907053064748,28.8669173844474
2003,Huancabamba,0.263706435671114,307.834281284626,26.222309241441
2004,Morropón,0.416316331155048,598.362050337449,46.9205107970443
